Geographic Area Name,Bush 2000 percentage in decimal,Gore 2000 percentage in decimal,"2020 Margin in decimal ( + is Trump, - is Biden)",Land Area mi2,2000 Population,2020 Total Population,Male population,Female population,Median Age ,White %,Black %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander,Some Other Race,Hispanic or Latino (of any race) %,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,Total Population part of Households,Total Households,Median Household Income
"Autauga County, Alabama",0.6969,0.2872,0.4442,594.436,43671,58805,28390,30415,38.9,76.7,20.9,2.4,2.3,0.2,3.2,3.6,10.4,32.8,28.7,28.1,58318,22412,"66,444"
"Baldwin County, Alabama",0.7237,0.2478,0.5376,1589.784,140415,231767,112627,119140,44,88,9,3,1.5,0.2,5.1,5.5,9,27.4,31.2,32.5,228215,93116,"65,658"
"Barbour County, Alabama",0.4991,0.4902,0.0766,884.876,29038,25223,13167,12056,42.9,47.3,48.6,1.4,0.6,0.1,4.9,6,24.3,36.7,27.8,11.2,22506,9677,"38,649"
"Bibb County, Alabama",0.6017,0.3816,0.5773,622.582,20826,22293,11798,10495,40.5,77.5,20.8,1.9,0.3,0.1,3.1,3.3,19.5,43.9,24.7,11.9,20153,7927,"48,454"
"Blount County, Alabama",0.7048,0.2769,0.8000,644.776,51024,59134,29197,29937,41.1,91.7,2.1,3.1,0.6,0.1,8.8,9.8,16.4,35.1,33.6,14.9,58521,22367,"56,894"
"Bullock County, Alabama",0.2922,0.6923,-0.4986,622.805,11714,10357,5628,4729,42,24.4,72.3,1.3,0.3,0.2,4.2,4.9,22.4,41.3,24.6,11.7,8653,3928,"32,027"
"Butler County, Alabama",0.5289,0.4621,0.1574,776.829,21399,19051,8971,10080,43.5,53.9,45.9,1.2,1,0.2,1.2,1.4,14.4,45.2,26.3,14,18770,8170,"39,442"
"Calhoun County, Alabama",0.5733,0.4056,0.3900,605.868,112249,116441,55787,60654,40,74,23.6,2.4,1.5,0.2,3.8,4.3,14.8,34.6,31.1,19.5,110821,46437,"48,166"
"Chambers County, Alabama",0.5101,0.4746,0.1562,596.531,36583,34772,16902,17870,43.3,57.4,40.3,1.5,1.4,0.1,3.1,3.6,17.2,36.2,32.9,13.7,33898,14238,"45,447"
"Cherokee County, Alabama",0.531,0.447,0.7283,553.7,23988,24971,12327,12644,47.7,94.4,4.9,2.4,0.4,0.1,1.6,1.6,20.2,36.9,30.1,12.8,24678,10411,"46,365"
"Chilton County, Alabama",0.667,0.3184,0.6738,692.854,39593,45014,22000,23014,40.1,83.2,10.1,2.3,0.6,0.1,8.4,9.8,18.2,42.9,25.3,13.5,44632,17302,"55,142"
"Choctaw County, Alabama",0.4882,0.5027,0.1566,913.5,15922,12665,6113,6552,47.6,57.5,42.3,1.1,0.4,0,0.8,0.9,19.4,37.5,31.4,11.7,12599,5675,"40,601"
